,country,admin_code,admin_name,centx,centy,year_month,year,month,fews_ipc,fews_ha,fews_proj_near,fews_proj_near_ha,fews_proj_med,fews_proj_med_ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,acled_count,acled_fatalities,p_staple_food,area,cropland_pct,pop,ruggedness_mean,pasture_pct,ymd
106409,Somalia,0,Qardho,49.50765,9.502092,2013_04,2013,4,2.0,1.0,2.0,0.0,2.0,0.0,0.1471609,110.6857,4.670715,1.121983,5.83965,1.970448,3,1,1.565806,18708.98,0.01045539,116609.0,74899.42,5.533937,2013-05-01
106412,Somalia,0,Qardho,49.50765,9.502092,2013_07,2013,7,2.0,0.0,2.0,0.0,,,0.127455,97.78991,0.09248759,0.003457448,1.584531,0.2019845,6,5,1.579057,18708.98,0.01045539,116609.0,74899.42,5.533937,2013-08-01
106415,Somalia,0,Qardho,49.50765,9.502092,2013_10,2013,10,2.0,1.0,2.0,1.0,3.0,0.0,0.1686499,115.4256,7.632254,3.956694,4.47508,0.4639579,2,0,1.58283,18708.98,0.01045539,116609.0,74899.42,5.533937,2013-11-01
106418,Somalia,0,Qardho,49.50765,9.502092,2014_01,2014,1,2.0,0.0,2.0,0.0,2.0,0.0,0.1591198,113.3934,0.03344172,-0.00195241,2.746771,-0.8310247,0,0,1.516544,18708.98,0.01045539,119337.0,74899.42,5.533937,2014-02-01
106421,Somalia,0,Qardho,49.50765,9.502092,2014_04,2014,4,2.0,0.0,2.0,0.0,2.0,0.0,0.1401712,105.4284,2.006072,-1.54266,3.026748,-0.842454,0,0,1.528065,18708.98,0.01045539,119337.0,74899.42,5.533937,2014-05-01
106424,Somalia,0,Qardho,49.50765,9.502092,2014_07,2014,7,2.0,0.0,2.0,0.0,2.0,0.0,0.130504,100.1292,0.09248785,0.003457715,0.9982331,-0.3843135,3,1,1.550015,18708.98,0.01045539,119337.0,74899.42,5.533937,2014-08-01
106427,Somalia,0,Qardho,49.50765,9.502092,2014_10,2014,10,2.0,0.0,2.0,0.0,2.0,0.0,0.1778726,121.7376,4.688579,1.013018,5.422395,1.411273,1,0,1.5239,18708.98,0.01045539,119337.0,74899.42,5.533937,2014-11-01
106430,Somalia,0,Qardho,49.50765,9.502092,2015_01,2015,1,2.0,0.0,2.0,0.0,2.0,0.0,0.146024,104.0609,0.03375636,-0.001637771,3.037883,-0.5399127,1,1,1.440702,18708.98,0.01045539,122065.0,74899.42,5.533937,2015-02-01
106433,Somalia,0,Qardho,49.50765,9.502092,2015_04,2015,4,2.0,0.0,2.0,0.0,2.0,0.0,0.1380743,103.8512,2.990325,-0.5584076,3.426342,-0.44286,0,0,1.472733,18708.98,0.01045539,122065.0,74899.42,5.533937,2015-05-01
106436,Somalia,0,Qardho,49.50765,9.502092,2015_07,2015,7,2.0,0.0,2.0,0.0,2.0,0.0,0.131442,100.8489,0.09248759,0.003457448,1.59651,0.2139635,1,0,1.454048,18708.98,0.01045539,122065.0,74899.42,5.533937,2015-08-01
106439,Somalia,0,Qardho,49.50765,9.502092,2015_10,2015,10,2.0,0.0,2.0,0.0,2.0,0.0,0.1357965,92.94036,2.444819,-1.230742,3.772416,-0.2387056,0,0,1.415481,18708.98,0.01045539,122065.0,74899.42,5.533937,2015-11-01
106443,Somalia,0,Qardho,49.50765,9.502092,2016_02,2016,2,3.0,0.0,3.0,0.0,2.0,0.0,0.1279237,94.05072,0.1023198,0.003393795,2.8864,-0.08571043,1,1,1.355378,18708.98,0.01045539,141587.0,74899.42,5.533937,2016-03-01
106447,Somalia,0,Qardho,49.50765,9.502092,2016_06,2016,6,3.0,0.0,3.0,0.0,3.0,0.0,0.1278458,91.9807,0.4571982,-0.1102748,0.8927105,-1.32364,4,2,1.346919,18708.98,0.01045539,141587.0,74899.42,5.533937,2016-07-01
106451,Somalia,0,Qardho,49.50765,9.502092,2016_10,2016,10,3.0,0.0,3.0,0.0,3.0,0.0,0.1304041,89.24977,1.840742,-1.834819,3.151941,-0.859181,0,0,1.338304,18708.98,0.01045539,141587.0,74899.42,5.533937,2016-11-01
106455,Somalia,0,Qardho,49.50765,9.502092,2017_02,2017,2,3.0,1.0,3.0,1.0,4.0,0.0,0.1310327,96.33646,0.1038681,0.00494208,2.803731,-0.1683797,0,0,1.360328,18708.98,0.01045539,161109.0,74899.42,5.533937,2017-03-01
106459,Somalia,0,Qardho,49.50765,9.502092,2017_06,2017,6,3.0,1.0,4.0,0.0,4.0,0.0,0.1378039,99.14524,0.3916822,-0.1757908,1.931635,-0.2847155,0,0,1.357755,18708.98,0.01045539,161109.0,74899.42,5.533937,2017-07-01
106463,Somalia,0,Qardho,49.50765,9.502092,2017_10,2017,10,2.0,1.0,4.0,0.0,4.0,0.0,0.1362894,93.27769,3.516444,-0.1591167,3.875495,-0.1356267,2,1,1.334336,18708.98,0.01045539,161109.0,74899.42,5.533937,2017-11-01
106467,Somalia,0,Qardho,49.50765,9.502092,2018_02,2018,2,2.0,1.0,3.0,0.0,3.0,0.0,0.1283715,94.37994,0.09946239,0.000536413,2.619089,-0.3530212,0,0,1.279764,18708.98,0.01045539,180631.0,74899.42,5.533937,2018-03-01
106471,Somalia,0,Qardho,49.50765,9.502092,2018_06,2018,6,2.0,1.0,3.0,0.0,2.0,0.0,0.1353153,97.35473,0.3717126,-0.1957604,1.816008,-0.4003422,0,0,1.247356,18708.98,0.01045539,180631.0,74899.42,5.533937,2018-07-01
106475,Somalia,0,Qardho,49.50765,9.502092,2018_10,2018,10,2.0,0.0,2.0,0.0,3.0,0.0,0.1375272,94.12485,3.902852,0.2272915,2.98581,-1.025311,0,0,1.215977,18708.98,0.01045539,180631.0,74899.42,5.533937,2018-11-01
106479,Somalia,0,Qardho,49.50765,9.502092,2019_02,2019,2,2.0,1.0,3.0,0.0,2.0,0.0,0.1261263,92.72925,0.09406574,-0.004860241,2.705665,-0.2664448,0,0,1.249832,18708.98,0.01045539,200153.0,74899.42,5.533937,2019-03-01
106483,Somalia,0,Qardho,49.50765,9.502092,2019_06,2019,6,3.0,0.0,4.0,0.0,3.0,0.0,0.1515385,109.0268,2.580172,2.012699,2.400396,0.1840461,0,0,1.260103,18708.98,0.01045539,200153.0,74899.42,5.533937,2019-07-01
106487,Somalia,0,Qardho,49.50765,9.502092,2019_10,2019,10,2.0,1.0,3.0,0.0,2.0,0.0,0.1476399,101.0461,2.634401,-1.041159,3.596646,-0.4144758,0,0,1.247075,18708.98,0.01045539,200153.0,74899.42,5.533937,2019-11-01
106491,Somalia,0,Qardho,49.50765,9.502092,2020_02,2020,2,2.0,0.0,2.0,0.0,3.0,0.0,0.1607208,118.1634,0.09996029,0.001158938,2.805909,-0.1662013,0,0,1.246449,18708.98,0.01045539,140426.0,74899.42,5.533937,2020-03-01
106567,Somalia,1,Baydhaba,43.63929,3.266359,2013_04,2013,4,2.0,1.0,2.0,0.0,2.0,0.0,0.5498222,127.5435,39.50867,15.67529,19.92155,10.29337,8,9,0.7174555,12967.38,8.518657,430559.0,20548.55,93.30323,2013-05-01
106570,Somalia,1,Baydhaba,43.63929,3.266359,2013_07,2013,7,2.0,0.0,2.0,0.0,,,0.2856798,90.51541,4.478768,0.323848,8.283655,0.9504405,21,16,0.7140004,12967.38,8.518657,430559.0,20548.55,93.30323,2013-08-01
